year,month,state,frequency,sentiment
2012,1,AL,0.0,
2012,2,AL,0.0,
2012,3,AL,0.0,
2012,4,AL,0.0,
2012,5,AL,0.0,
2012,6,AL,0.0,
2012,7,AL,0.0,
2012,8,AL,0.0,
2012,9,AL,0.0,
2012,10,AL,0.0,
2012,11,AL,0.0,
2012,12,AL,0.0,
2013,1,AL,0.0,
2013,2,AL,0.0,
2013,3,AL,0.0,
2013,4,AL,0.0,
2013,5,AL,0.0,
2013,6,AL,0.0,
2013,7,AL,0.0,
2013,8,AL,0.0,
2013,9,AL,0.0,
2013,10,AL,0.0,
2013,11,AL,0.0,
2013,12,AL,0.0,
2014,1,AL,0.0,
2014,2,AL,0.0,
2014,3,AL,0.0,
2014,4,AL,0.0,
2014,5,AL,0.0,
2014,6,AL,0.0,
2014,7,AL,0.0,
2014,8,AL,0.0,
2014,9,AL,0.0,
2014,10,AL,0.0,
2014,11,AL,0.0,
2014,12,AL,0.0,
2015,1,AL,1.0,0.0
2015,2,AL,0.0,
2015,3,AL,0.0,
2015,4,AL,0.0,
2015,5,AL,0.0,
2015,6,AL,0.0,
2015,7,AL,0.0,
2015,8,AL,1.0,0.0
2015,9,AL,0.0,
2015,10,AL,0.0,
2015,11,AL,0.0,
2015,12,AL,0.0,
2016,1,AL,0.0,
2016,2,AL,0.0,
2016,3,AL,0.0,
2016,4,AL,0.0,
2016,5,AL,0.0,
2016,6,AL,0.0,
2016,7,AL,0.0,
2016,8,AL,0.0,
2016,9,AL,0.0,
2016,10,AL,0.0,
2016,11,AL,0.0,
2016,12,AL,0.0,
2017,1,AL,0.0,
2017,2,AL,0.0,
2017,3,AL,0.0,
2017,4,AL,0.0,
2017,5,AL,0.0,
2017,6,AL,0.0,
2017,7,AL,63.0,0.006349206349206349
2017,8,AL,21.0,0.12527417027417023
2017,9,AL,1.0,0.0
2017,10,AL,1.0,0.0
2017,11,AL,1.0,0.0
2017,12,AL,2.0,0.11392045454545455
2018,1,AL,3.0,0.1366666666666667
2018,2,AL,13.0,0.18271728271728271
2018,3,AL,11.0,0.1348484848484848
2018,4,AL,4.0,0.1259469696969697
2018,5,AL,0.0,
2018,6,AL,11.0,0.08306818181818182
2018,7,AL,2.0,0.0
2018,8,AL,1.0,0.025
2018,9,AL,4.0,0.15980519480519478
2018,10,AL,8.0,0.1674005681818182
2018,11,AL,0.0,
2018,12,AL,0.0,
2019,1,AL,0.0,
2019,2,AL,0.0,
2019,3,AL,0.0,
2019,4,AL,0.0,
2019,5,AL,0.0,
2019,6,AL,5.0,0.32724631734006737
2019,7,AL,5.0,0.12505681818181819
2019,8,AL,0.0,
2019,9,AL,0.0,
2019,10,AL,0.0,
2019,11,AL,0.0,
2019,12,AL,0.0,
